	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
GIMAP71	4.62993631309422e-31	0.448270432632389	0.932	0.885	9.25987262618843e-28	T/NK2	GIMAP7
RPS8	1.26669143168276e-30	0.409480610962595	1	0.995	2.53338286336551e-27	T/NK2	RPS8
RPL12	1.91245674557539e-30	0.46724348331785	0.996	0.982	3.82491349115078e-27	T/NK2	RPL12
AAK11	3.5238348648905e-30	0.577532276208205	0.883	0.78	7.047669729781e-27	T/NK2	AAK1
MGAT4A	6.62834920622706e-30	0.597469191495496	0.889	0.752	1.32566984124541e-26	T/NK2	MGAT4A
GADD45A	2.5505777892892e-29	0.576945511129684	0.823	0.717	5.1011555785784e-26	T/NK2	GADD45A
SPRY1	5.38362076839852e-29	0.538555608257342	0.86	0.799	1.0767241536797e-25	T/NK2	SPRY1
ITK1	6.19249733211877e-29	0.384994616379681	0.868	0.688	1.23849946642375e-25	T/NK2	ITK
GPR1711	1.15263980047113e-27	0.476394144362594	0.829	0.744	2.30527960094227e-24	T/NK2	GPR171
RPL41	7.15020727757414e-27	0.351976084462465	1	0.995	1.43004145551483e-23	T/NK2	RPL41
SLFN51	1.19022714095514e-26	0.483697356447437	0.918	0.807	2.38045428191028e-23	T/NK2	SLFN5
RPL10A	2.80019379552165e-26	0.416158453530504	0.994	0.975	5.6003875910433e-23	T/NK2	RPL10A
RASGRP11	1.97671253975634e-25	0.273812014689988	0.901	0.724	3.95342507951268e-22	T/NK2	RASGRP1
TCF71	3.64073253331554e-25	0.374183140407679	0.708	0.686	7.28146506663107e-22	T/NK2	TCF7
RPS2	9.52621661064935e-25	0.338122342594543	1	0.992	1.90524332212987e-21	T/NK2	RPS2
ATP1A1	1.93386034589127e-24	0.286218252399841	0.967	0.819	3.86772069178254e-21	T/NK2	ATP1A1
SH3BGRL31	2.53488395086909e-24	0.338928166972087	1	0.937	5.06976790173819e-21	T/NK2	SH3BGRL3
BHLHE40	5.65525666785841e-24	0.373838861425778	0.936	0.787	1.13105133357168e-20	T/NK2	BHLHE40
CFAP36	1.67321234009745e-23	0.304403019570605	0.733	0.699	3.3464246801949e-20	T/NK2	CFAP36
DNAJB11	4.51292293803784e-23	0.415463693962889	0.984	0.855	9.02584587607568e-20	T/NK2	DNAJB1
NCOA7	7.52966694833824e-23	0.431140498193565	0.903	0.767	1.50593338966765e-19	T/NK2	NCOA7
CD691	6.13234868751633e-22	0.27841537517449	0.994	0.921	1.22646973750327e-18	T/NK2	CD69
RPS5	6.4265159072353e-22	0.338103115996456	0.996	0.986	1.28530318144706e-18	T/NK2	RPS5
PHACTR2	1.8056019881973e-21	0.41486765187793	0.854	0.804	3.61120397639459e-18	T/NK2	PHACTR2
CYTIP1	2.07259732109383e-20	0.298477964293147	0.979	0.881	4.14519464218765e-17	T/NK2	CYTIP
IPCEF11	3.84937721467733e-20	0.267910312840812	0.782	0.596	7.69875442935466e-17	T/NK2	IPCEF1
ZFP36L21	4.07000393538992e-20	0.479853595590898	0.994	0.974	8.14000787077985e-17	T/NK2	ZFP36L2
RPL31	5.19369677981799e-20	0.389394201644982	0.996	0.954	1.0387393559636e-16	T/NK2	RPL31
SET	2.4043655066381e-19	0.383805852247931	0.988	0.894	4.8087310132762e-16	T/NK2	SET
RPL8	2.6510027490159e-19	0.279349281944197	0.998	0.981	5.3020054980318e-16	T/NK2	RPL8
DOCK101	7.27611124801218e-19	0.313205655236523	0.959	0.859	1.45522224960244e-15	T/NK2	DOCK10
RPS31	7.6087343054489e-18	0.296673936441163	0.998	0.996	1.52174686108978e-14	T/NK2	RPS3
CDC42SE21	2.82566315412985e-17	0.308158358762109	0.984	0.915	5.65132630825971e-14	T/NK2	CDC42SE2
PAG1	3.77494455473079e-17	0.305990018979218	0.909	0.79	7.54988910946157e-14	T/NK2	PAG1
JAML	6.44137003764935e-17	0.273323439544326	0.934	0.866	1.28827400752987e-13	T/NK2	JAML
RAB11FIP1	1.14759253058872e-16	0.426876935269857	0.918	0.878	2.29518506117745e-13	T/NK2	RAB11FIP1
RPL29	1.16044399271027e-16	0.331206200106105	0.998	0.991	2.32088798542054e-13	T/NK2	RPL29
CITED2	1.56703766515222e-16	0.445446832576204	0.926	0.806	3.13407533030445e-13	T/NK2	CITED2
KLF6	4.52575887627134e-16	0.510105499521055	0.998	0.986	9.05151775254269e-13	T/NK2	KLF6
GPR183	1.75046946278496e-15	0.272743180365923	0.992	0.96	3.50093892556991e-12	T/NK2	GPR183
CHD3	1.88808942652051e-15	0.335180658042654	0.85	0.757	3.77617885304103e-12	T/NK2	CHD3
IL1R1	2.82411258776518e-15	0.293735885461194	0.749	0.697	5.64822517553037e-12	T/NK2	IL1R1
AC058791.11	3.12464435012687e-15	0.304468946505327	0.957	0.882	6.24928870025374e-12	T/NK2	AC058791.1
PPA1	6.14377370711535e-15	0.38987390589038	0.78	0.673	1.22875474142307e-11	T/NK2	PPA1
ACAP11	8.38624473585778e-15	0.323976847222715	0.914	0.86	1.67724894717156e-11	T/NK2	ACAP1
RPL4	2.96234630593956e-14	0.310554906374471	0.963	0.962	5.92469261187912e-11	T/NK2	RPL4
TUBB4B	3.14402033343863e-14	0.273940888973596	0.949	0.829	6.28804066687726e-11	T/NK2	TUBB4B
PRKX1	6.22131328472531e-14	0.304981864384775	0.856	0.71	1.24426265694506e-10	T/NK2	PRKX
TRAF3IP3	1.59716396673386e-13	0.299134515570847	0.872	0.798	3.19432793346773e-10	T/NK2	TRAF3IP3
PARP81	3.11262203862041e-13	0.270248233403775	0.909	0.827	6.22524407724083e-10	T/NK2	PARP8
SLC38A11	1.70992297366104e-12	0.251258712972588	0.934	0.905	3.41984594732208e-09	T/NK2	SLC38A1
UCP2	5.28281334158668e-12	0.35127208431649	0.905	0.838	1.05656266831734e-08	T/NK2	UCP2
HIST1H1C1	8.47399648831841e-12	0.365355717270115	0.854	0.813	1.69479929766368e-08	T/NK2	HIST1H1C
CRYBG11	3.62532691506288e-11	0.293409010158214	0.784	0.666	7.25065383012575e-08	T/NK2	CRYBG1
FKBP5	1.54839778833959e-10	0.37388713118179	0.706	0.63	3.09679557667917e-07	T/NK2	FKBP5
ELF1	2.21167162460046e-10	0.325374923065257	0.984	0.944	4.42334324920091e-07	T/NK2	ELF1
ARL4A	1.60001945491042e-09	0.262795524252964	0.959	0.913	3.20003890982085e-06	T/NK2	ARL4A
DDIT41	4.72422911701171e-09	0.389929478979655	0.858	0.815	9.44845823402343e-06	T/NK2	DDIT4
ENO1	3.64772036821522e-06	0.265238488559579	0.829	0.772	0.00729544073643044	T/NK2	ENO1
MGP	1.78735150004658e-213	2.80035578854178	0.95	0.846	3.57470300009315e-210	T/NK3	MGP
ADAMTS1	1.28382079529149e-206	2.56876855102365	0.894	0.63	2.56764159058298e-203	T/NK3	ADAMTS1
SYNPO2	2.84216622034245e-203	1.46120772756501	0.807	0.799	5.6843324406849e-200	T/NK3	SYNPO2
ACTA2	4.75312293476577e-194	2.84281915072405	0.826	0.707	9.50624586953154e-191	T/NK3	ACTA2
DCN	8.55592208502085e-192	3.34340579824374	0.932	0.808	1.71118441700417e-188	T/NK3	DCN
IGFBP7	1.37296045703191e-182	2.52292323822979	0.938	0.7	2.74592091406382e-179	T/NK3	IGFBP7
OGN	7.70861618270714e-179	1.91642480974663	0.776	0.62	1.54172323654143e-175	T/NK3	OGN
TAGLN	2.3497230215128e-173	3.20745603143176	0.888	0.755	4.6994460430256e-170	T/NK3	TAGLN
MYLK	6.42753167227136e-165	1.60732743828459	0.776	0.761	1.28550633445427e-161	T/NK3	MYLK
CRISPLD2	2.0257877416935e-162	1.55759307935518	0.795	0.693	4.051575483387e-159	T/NK3	CRISPLD2
ADIRF	4.12666611407937e-161	2.73930339204101	0.957	0.74	8.25333222815874e-158	T/NK3	ADIRF
MYL9	8.83910996406248e-159	2.46962995049678	0.876	0.678	1.7678219928125e-155	T/NK3	MYL9
IGFBP5	7.66464634147188e-158	2.85423541081328	0.913	0.543	1.53292926829438e-154	T/NK3	IGFBP5
FGF7	1.32868908568969e-157	1.06964000736116	0.832	0.753	2.65737817137938e-154	T/NK3	FGF7
MEG3	1.73852448534498e-157	2.64803811931183	0.776	0.607	3.47704897068995e-154	T/NK3	MEG3
TFPI	2.01008836464769e-156	1.12592063852767	0.733	0.77	4.02017672929537e-153	T/NK3	TFPI
TPM2	9.78687831006288e-156	2.57515077939694	0.919	0.643	1.95737566201258e-152	T/NK3	TPM2
IGFBP6	4.65911269597001e-152	2.02541780259336	0.901	0.734	9.31822539194003e-149	T/NK3	IGFBP6
RBP1	4.91103575847772e-148	1.49393639460753	0.795	0.665	9.82207151695544e-145	T/NK3	RBP1
GPRC5A	7.92356977615483e-147	0.885633027124538	0.584	0.552	1.58471395523097e-143	T/NK3	GPRC5A
CAV1	7.50482692751899e-143	1.56029690857343	0.752	0.699	1.5009653855038e-139	T/NK3	CAV1
CCDC80	3.69657242149871e-142	1.68863682761119	0.77	0.737	7.39314484299742e-139	T/NK3	CCDC80
DPT	1.55005295042889e-139	1.11470223203193	0.615	0.811	3.10010590085778e-136	T/NK3	DPT
SFRP1	3.11449580102749e-137	1.90760149004718	0.82	0.556	6.22899160205498e-134	T/NK3	SFRP1
LMOD1	9.34772511414595e-137	1.11474557659242	0.683	0.601	1.86954502282919e-133	T/NK3	LMOD1
POSTN	1.4016615500703e-136	1.70450524422065	0.739	0.542	2.8033231001406e-133	T/NK3	POSTN
MYH11	4.04743919382536e-134	2.28400635757701	0.714	0.747	8.09487838765072e-131	T/NK3	MYH11
TPM1	6.74395915554807e-134	2.29438714100419	0.894	0.642	1.34879183110961e-130	T/NK3	TPM1
AKAP12	7.09466972749161e-134	1.71178268960876	0.832	0.57	1.41893394549832e-130	T/NK3	AKAP12
OSR2	4.26352668881418e-130	1.18472139459752	0.708	0.579	8.52705337762836e-127	T/NK3	OSR2
VASN	2.50802416461561e-126	0.652360665875669	0.571	0.615	5.01604832923122e-123	T/NK3	VASN
MDK	4.41633916414696e-126	1.39076356394506	0.795	0.578	8.83267832829391e-123	T/NK3	MDK
SFRP4	5.92259301300375e-126	2.67615145718167	0.814	0.484	1.18451860260075e-122	T/NK3	SFRP4
CNN1	1.7349484943195e-125	1.04227142634174	0.696	0.723	3.469896988639e-122	T/NK3	CNN1
PLAC9	1.70267269357832e-123	1.11034862349687	0.907	0.702	3.40534538715664e-120	T/NK3	PLAC9
TGM2	1.79742707209945e-123	1.42599539694587	0.776	0.588	3.59485414419889e-120	T/NK3	TGM2
TSC22D1	9.18057349595358e-120	1.88586286124025	0.95	0.751	1.83611469919072e-116	T/NK3	TSC22D1
COL1A1	7.13192197329448e-118	0.972659463381685	0.708	0.566	1.4263843946589e-114	T/NK3	COL1A1
ID1	3.97539754827734e-117	1.53501747393177	0.913	0.744	7.95079509655468e-114	T/NK3	ID1
NEXN	5.64847021419307e-117	0.978542502712758	0.652	0.652	1.12969404283861e-113	T/NK3	NEXN
COL1A2	1.61891137590936e-116	1.07819053757447	0.752	0.727	3.23782275181872e-113	T/NK3	COL1A2
F3	1.06994843921424e-115	1.27161890495399	0.789	0.733	2.13989687842848e-112	T/NK3	F3
COL3A1	6.45509514355167e-113	0.89373408253585	0.658	0.789	1.29101902871033e-109	T/NK3	COL3A1
ID3	5.16248144169995e-112	1.99929942519609	0.913	0.897	1.03249628833999e-108	T/NK3	ID3
CRYAB	1.13128304529948e-111	1.19245326150255	0.783	0.625	2.26256609059897e-108	T/NK3	CRYAB
FSTL1	3.55264116823479e-111	0.676516889722243	0.596	0.652	7.10528233646958e-108	T/NK3	FSTL1
MEIS2	4.06660687161207e-110	0.541553352892973	0.509	0.637	8.13321374322414e-107	T/NK3	MEIS2
ABCC9	4.87278635503489e-110	0.315201026358415	0.447	0.706	9.74557271006978e-107	T/NK3	ABCC9
FOXL2	2.22622102295919e-109	0.471769705447024	0.559	0.696	4.45244204591839e-106	T/NK3	FOXL2
DSTN	2.24855173155781e-109	2.08379991127961	0.981	0.814	4.49710346311562e-106	T/NK3	DSTN
CSRP2	1.136079514706e-108	1.16815858376175	0.733	0.558	2.27215902941199e-105	T/NK3	CSRP2
TJP1	1.92963790845862e-108	0.968495764339897	0.714	0.553	3.85927581691724e-105	T/NK3	TJP1
LAMA4	1.81282866491436e-106	0.871199665035108	0.615	0.455	3.62565732982871e-103	T/NK3	LAMA4
FBN1	7.17682834567674e-102	0.549482931601416	0.497	0.422	1.43536566913535e-98	T/NK3	FBN1
PPP1R14A	2.9953011480253e-101	0.898873817379413	0.727	0.839	5.9906022960506e-98	T/NK3	PPP1R14A
GNG11	3.2291945565161e-101	1.12608627611527	0.795	0.775	6.4583891130322e-98	T/NK3	GNG11
CHGB	5.67477761797924e-99	0.884954468553452	0.683	0.494	1.13495552359585e-95	T/NK3	CHGB
PDE8B	7.48818270983816e-99	0.270683800696604	0.354	0.584	1.49763654196763e-95	T/NK3	PDE8B
CARMN	2.38662891923987e-96	0.569715261068652	0.733	0.801	4.77325783847974e-93	T/NK3	CARMN
SERTM1	2.67955756150713e-96	0.289820825986093	0.491	0.615	5.35911512301427e-93	T/NK3	SERTM1
CPE	2.34292434595256e-95	1.15220313438007	0.814	0.5	4.68584869190511e-92	T/NK3	CPE
EMX2	7.35504322056539e-95	0.598004849178448	0.565	0.618	1.47100864411308e-91	T/NK3	EMX2
PTN	2.10239655264023e-94	0.975846280882102	0.888	0.478	4.20479310528046e-91	T/NK3	PTN
COL14A1	8.63980554585597e-93	0.882674261937412	0.714	0.468	1.72796110917119e-89	T/NK3	COL14A1
ADAMTS5	7.22604918579648e-92	0.355826711161231	0.484	0.662	1.4452098371593e-88	T/NK3	ADAMTS5
GFRA1	1.10961612943733e-90	0.320006249608492	0.857	0.744	2.21923225887466e-87	T/NK3	GFRA1
GEM	1.79121075880462e-88	1.07342846174093	0.764	0.713	3.58242151760923e-85	T/NK3	GEM
ANK2	2.30160145381623e-88	0.743042806335283	0.596	0.516	4.60320290763245e-85	T/NK3	ANK2
ADAMTS4	2.56239000610483e-88	0.922701549447608	0.491	0.437	5.12478001220967e-85	T/NK3	ADAMTS4
CTSK	6.38838477639781e-88	0.804366280549569	0.64	0.535	1.27767695527956e-84	T/NK3	CTSK
RERG	7.61171583073332e-88	0.513429002144931	0.863	0.76	1.52234316614666e-84	T/NK3	RERG
DLC1	1.53518372175044e-87	0.546554917088208	0.491	0.632	3.07036744350089e-84	T/NK3	DLC1
PDLIM3	1.83110652014439e-86	0.846729247595256	0.87	0.801	3.66221304028877e-83	T/NK3	PDLIM3
CKB	4.67175791919508e-86	1.20623032230074	0.708	0.585	9.34351583839017e-83	T/NK3	CKB
BCHE	1.26337962024922e-85	0.270140222173199	0.789	0.666	2.52675924049845e-82	T/NK3	BCHE
PDE5A	2.30753680206559e-85	0.666605145934671	0.528	0.587	4.61507360413118e-82	T/NK3	PDE5A
PGR	3.39512564372457e-85	0.736800929259898	0.509	0.446	6.79025128744915e-82	T/NK3	PGR
LUM	1.23483431224251e-84	1.1878999341815	0.627	0.69	2.46966862448503e-81	T/NK3	LUM
GATA6	1.61179214446004e-83	0.373401815221025	0.478	0.635	3.22358428892009e-80	T/NK3	GATA6
CAV2	2.60486642975982e-83	0.801072003917836	0.752	0.744	5.20973285951964e-80	T/NK3	CAV2
TPBG	1.63894215558833e-82	0.374918892365281	0.565	0.777	3.27788431117667e-79	T/NK3	TPBG
HSPB8	2.6714276315906e-82	0.527214539983714	0.565	0.59	5.3428552631812e-79	T/NK3	HSPB8
MAP1B	1.1124393659245e-81	0.855877302573028	0.87	0.642	2.22487873184899e-78	T/NK3	MAP1B
SLIT3	2.36663744833681e-81	0.593906750718807	0.826	0.439	4.73327489667362e-78	T/NK3	SLIT3
CLU	1.73897984813667e-80	1.5498269351838	0.907	0.837	3.47795969627333e-77	T/NK3	CLU
TWIST2	1.64115471990186e-79	0.338312968506267	0.571	0.608	3.28230943980371e-76	T/NK3	TWIST2
RARRES1	3.50827713415476e-79	0.846954588003608	0.776	0.644	7.01655426830952e-76	T/NK3	RARRES1
ACKR3	6.50539255862528e-79	0.652162579030055	0.627	0.605	1.30107851172506e-75	T/NK3	ACKR3
MEG8	6.75110005452328e-79	0.912566984200101	0.466	0.422	1.35022001090466e-75	T/NK3	MEG8
CDKN1C	4.09987453541358e-78	1.31173151674594	0.87	0.777	8.19974907082717e-75	T/NK3	CDKN1C
IGSF10	3.23221564153277e-77	0.261730527788961	0.441	0.711	6.46443128306553e-74	T/NK3	IGSF10
ESR1	8.60794206846438e-76	0.853412373111947	0.652	0.492	1.72158841369288e-72	T/NK3	ESR1
OMD	1.66062981575328e-75	0.550357395403003	0.714	0.642	3.32125963150656e-72	T/NK3	OMD
ABCA8	3.07646180152369e-71	0.717895163578599	0.764	0.606	6.15292360304737e-68	T/NK3	ABCA8
WTIP	4.21663366023719e-71	0.499081354177575	0.634	0.446	8.43326732047438e-68	T/NK3	WTIP
LRRC17	1.90642852941542e-70	0.619919065889486	0.528	0.397	3.81285705883083e-67	T/NK3	LRRC17
ADH1B	2.08324807924838e-70	1.09101924886148	0.708	0.831	4.16649615849677e-67	T/NK3	ADH1B
NES	4.343307804085e-70	0.578922304275543	0.857	0.492	8.68661560816999e-67	T/NK3	NES
TGFBR3	4.90237367842704e-70	0.76504121339188	0.77	0.825	9.80474735685408e-67	T/NK3	TGFBR3
COL18A1	5.45198506209673e-70	0.515464539972023	0.435	0.502	1.09039701241935e-66	T/NK3	COL18A1
GAS1	6.23440700595232e-70	0.772770659804183	0.671	0.481	1.24688140119046e-66	T/NK3	GAS1
WWTR1	6.86797465643033e-70	0.778123929902299	0.696	0.546	1.37359493128607e-66	T/NK3	WWTR1
ALDH1A2	7.21860156018604e-70	0.520625319176058	0.472	0.374	1.44372031203721e-66	T/NK3	ALDH1A2
IL33	8.75526460358824e-69	0.651226680221041	0.609	0.64	1.75105292071765e-65	T/NK3	IL33
NOTCH3	1.31171968620724e-68	0.630402283503724	0.652	0.467	2.62343937241448e-65	T/NK3	NOTCH3
ANGPTL4	1.45371655124936e-67	0.268695461070726	0.335	0.554	2.90743310249872e-64	T/NK3	ANGPTL4
BCAM	1.91241630419108e-67	0.478328538242189	0.739	0.516	3.82483260838216e-64	T/NK3	BCAM
SORBS1	6.38280279324168e-67	0.402850856841665	0.571	0.458	1.27656055864834e-63	T/NK3	SORBS1
PAPPA	9.54014735070561e-67	0.404881788879087	0.453	0.427	1.90802947014112e-63	T/NK3	PAPPA
SYNM	9.78974937517173e-67	0.878181115997507	0.671	0.553	1.95794987503435e-63	T/NK3	SYNM
PLN	2.29791019416595e-66	0.953808386978571	0.913	0.743	4.59582038833189e-63	T/NK3	PLN
CACNA1D	3.04389524490653e-66	0.456298398504983	0.534	0.521	6.08779048981305e-63	T/NK3	CACNA1D
SNCG	4.82719081059487e-66	0.841367444902294	0.839	0.691	9.65438162118974e-63	T/NK3	SNCG
TEAD1	6.53205832597081e-66	0.438524987639674	0.509	0.423	1.30641166519416e-62	T/NK3	TEAD1
PLAT	1.25871979695079e-64	0.620722042818648	0.528	0.58	2.51743959390158e-61	T/NK3	PLAT
PHGDH	1.28473249335517e-64	0.307465237026468	0.77	0.709	2.56946498671035e-61	T/NK3	PHGDH
S1PR3	1.80969864610619e-64	0.309968639197783	0.385	0.489	3.61939729221237e-61	T/NK3	S1PR3
RGS5	2.91304286182293e-64	0.891397468991435	0.894	0.679	5.82608572364586e-61	T/NK3	RGS5
PDE10A	3.2302962275874e-64	0.295381972521251	0.342	0.52	6.46059245517479e-61	T/NK3	PDE10A
SNAI2	2.78678714166988e-63	0.362657416146856	0.702	0.624	5.57357428333976e-60	T/NK3	SNAI2
TFPI2	3.13112557790465e-63	0.694576683034013	0.733	0.746	6.2622511558093e-60	T/NK3	TFPI2
EMP1	5.84994718421331e-63	1.13757386618394	0.727	0.847	1.16998943684266e-59	T/NK3	EMP1
EDNRA	9.16237926641828e-63	0.250002932369767	0.472	0.485	1.83247585328366e-59	T/NK3	EDNRA
AR	9.35844802334072e-63	0.675627881780123	0.733	0.588	1.87168960466814e-59	T/NK3	AR
IGFBP3	3.7374586588248e-62	1.08218271899702	0.689	0.65	7.47491731764959e-59	T/NK3	IGFBP3
CD248	5.67833748079573e-62	0.348123196033294	0.571	0.651	1.13566749615915e-58	T/NK3	CD248
ANGPTL1	4.41967532096034e-61	0.349104693095222	0.907	0.817	8.83935064192068e-58	T/NK3	ANGPTL1
GJA1	4.58342403865431e-61	0.489621158081798	0.453	0.639	9.16684807730863e-58	T/NK3	GJA1
GSN	2.18649374997354e-60	1.54694096434303	0.944	0.698	4.37298749994708e-57	T/NK3	GSN
ABI3BP	2.22363222146279e-59	0.426738967421735	0.752	0.584	4.44726444292557e-56	T/NK3	ABI3BP
ANGPT1	2.59265491494944e-59	0.435959609137848	0.832	0.437	5.18530982989888e-56	T/NK3	ANGPT1
ENAH	3.46838874089154e-59	0.521335068781988	0.571	0.485	6.93677748178308e-56	T/NK3	ENAH
DMD	3.872747430478e-59	0.541729020914924	0.497	0.591	7.745494860956e-56	T/NK3	DMD
LEPR	2.49950707016666e-57	0.513365537347254	0.894	0.813	4.99901414033332e-54	T/NK3	LEPR
NTRK3	2.55306404866793e-57	0.318029731570053	0.832	0.478	5.10612809733585e-54	T/NK3	NTRK3
THSD7A	4.47151282488323e-57	0.250216375639631	0.764	0.682	8.94302564976647e-54	T/NK3	THSD7A
SORBS2	8.56458574195498e-57	0.898971379060517	0.826	0.45	1.712917148391e-53	T/NK3	SORBS2
CYP1B1	1.04983013834159e-56	0.943174390661822	0.64	0.496	2.09966027668319e-53	T/NK3	CYP1B1
CASQ2	1.79358687080876e-56	0.363453271661338	0.919	0.654	3.58717374161753e-53	T/NK3	CASQ2
PPIC	3.34099994905656e-56	0.266632558874625	0.652	0.686	6.68199989811312e-53	T/NK3	PPIC
RASD1	5.36665661148081e-56	0.957793884542723	0.845	0.769	1.07333132229616e-52	T/NK3	RASD1
COL15A1	6.87876168619724e-56	0.376699637701479	0.578	0.661	1.37575233723945e-52	T/NK3	COL15A1
CHRDL1	2.08930190448853e-55	0.28382342323879	0.789	0.756	4.17860380897707e-52	T/NK3	CHRDL1
IL6	2.11216873477386e-55	0.824882872638287	0.764	0.555	4.22433746954772e-52	T/NK3	IL6
AHNAK2	2.31732633939781e-55	0.25503075640502	0.832	0.681	4.63465267879562e-52	T/NK3	AHNAK2
MYH10	3.08111281177732e-55	0.4377703457021	0.696	0.697	6.16222562355463e-52	T/NK3	MYH10
PRLR	7.71613875030034e-55	0.279056952034305	0.429	0.522	1.54322775006007e-51	T/NK3	PRLR
CMYA5	1.2466106508267e-54	0.455670087554971	0.72	0.612	2.4932213016534e-51	T/NK3	CMYA5
MYC	2.18769113383156e-54	1.02752787719379	0.627	0.638	4.37538226766311e-51	T/NK3	MYC
SLC16A9	2.89443125184108e-54	0.318105593469241	0.398	0.405	5.78886250368217e-51	T/NK3	SLC16A9
CCDC3	3.4509517796992e-54	0.519632990664224	0.832	0.414	6.9019035593984e-51	T/NK3	CCDC3
VCL	8.33718584385543e-54	0.716339599655557	0.807	0.699	1.66743716877109e-50	T/NK3	VCL
WNT4	1.82608931597356e-53	0.2657625770198	0.565	0.637	3.65217863194712e-50	T/NK3	WNT4
UACA	8.12971766590713e-53	0.780036754187951	0.689	0.733	1.62594353318143e-49	T/NK3	UACA
ERRFI1	2.04664332027522e-52	0.753749339955199	0.627	0.547	4.09328664055045e-49	T/NK3	ERRFI1
C7	4.07420459086013e-52	1.21814540701527	0.95	0.666	8.14840918172026e-49	T/NK3	C7
BNC2	6.2931751817789e-52	0.308451159089505	0.466	0.726	1.25863503635578e-48	T/NK3	BNC2
WT1	6.56865953127427e-52	0.365360407729569	0.466	0.447	1.31373190625485e-48	T/NK3	WT1
RERGL	2.66911558718079e-51	1.31696533952853	0.77	0.783	5.33823117436157e-48	T/NK3	RERGL
FMO2	6.7708778022461e-51	0.458226891340117	0.677	0.644	1.35417556044922e-47	T/NK3	FMO2
MCAM1	2.28840970452337e-50	1.02175570782775	0.845	0.757	4.57681940904673e-47	T/NK3	MCAM
FILIP1	1.47413187342557e-49	0.498443386723692	0.839	0.641	2.94826374685113e-46	T/NK3	FILIP1
NTRK2	4.30546553597386e-48	0.611886589537424	0.795	0.425	8.61093107194773e-45	T/NK3	NTRK2
ADAMTS9	7.49262960886751e-48	0.455658629113411	0.565	0.54	1.4985259217735e-44	T/NK3	ADAMTS9
PRELP	1.80403353125524e-47	0.306364637651914	0.87	0.765	3.60806706251048e-44	T/NK3	PRELP
IFT81	5.16610480433882e-47	0.296874970021594	0.634	0.619	1.03322096086776e-43	T/NK3	IFT81
CCBE1	1.73071073740322e-46	0.260158673170541	0.534	0.522	3.46142147480643e-43	T/NK3	CCBE1
ID4	3.44403441739465e-46	0.847237517090182	0.615	0.387	6.88806883478929e-43	T/NK3	ID4
PGF	3.48278024880027e-46	0.271058782950281	0.429	0.537	6.96556049760054e-43	T/NK3	PGF
AVPR1A	4.98822334369042e-46	0.416522885090601	0.702	0.389	9.97644668738084e-43	T/NK3	AVPR1A
LONRF2	3.50339613925616e-45	0.501142160031027	0.516	0.35	7.00679227851231e-42	T/NK3	LONRF2
ADGRL3	7.35867224632553e-45	0.265340700661874	0.826	0.653	1.47173444926511e-41	T/NK3	ADGRL3
SOX4	7.94747832224695e-45	0.867736466756308	0.696	0.728	1.58949566444939e-41	T/NK3	SOX4
JUN	1.1262791068714e-44	1.56856516808478	0.994	0.951	2.2525582137428e-41	T/NK3	JUN
ITIH5	1.27994009475703e-44	0.278399971340048	0.839	0.486	2.55988018951407e-41	T/NK3	ITIH5
FBXO32	1.9369183572495e-44	0.847546007801744	0.658	0.465	3.87383671449901e-41	T/NK3	FBXO32
EGR3	5.07516235820897e-44	0.851119224383825	0.745	0.784	1.01503247164179e-40	T/NK3	EGR3
CAVIN2	5.68064870077182e-44	1.04264915408245	0.832	0.771	1.13612974015436e-40	T/NK3	CAVIN2
MATN2	1.07148552087663e-43	0.334191837660383	0.783	0.807	2.14297104175326e-40	T/NK3	MATN2
ACTN1	1.44063458052623e-43	0.627306750671968	0.578	0.51	2.88126916105246e-40	T/NK3	ACTN1
CRIP2	1.92630374975526e-43	0.448954220899766	0.466	0.574	3.85260749951053e-40	T/NK3	CRIP2
THSD4	3.36675808545321e-43	0.396965753510713	0.478	0.447	6.73351617090641e-40	T/NK3	THSD4
SLIT2	7.860442494952e-43	0.458612362725133	0.801	0.59	1.5720884989904e-39	T/NK3	SLIT2
CBR3	1.053199604119e-42	0.304476832249291	0.665	0.69	2.106399208238e-39	T/NK3	CBR3
CRABP2	3.65228367353636e-42	0.480489293215212	0.596	0.567	7.30456734707273e-39	T/NK3	CRABP2
PRKG1	7.13927891607901e-42	0.352988043917555	0.497	0.428	1.4278557832158e-38	T/NK3	PRKG1
RNF152	7.50734617687897e-42	0.390273399801914	0.789	0.473	1.50146923537579e-38	T/NK3	RNF152
RCAN2	8.00989593755425e-42	0.620203909377978	0.863	0.576	1.60197918751085e-38	T/NK3	RCAN2
SEMA5A	9.31350987229309e-42	0.299197828726738	0.708	0.523	1.86270197445862e-38	T/NK3	SEMA5A
APOD	1.10757436993541e-41	0.564023003921854	0.832	0.713	2.21514873987082e-38	T/NK3	APOD
MEDAG	1.15690140566149e-41	0.25582036198673	0.435	0.425	2.31380281132298e-38	T/NK3	MEDAG
KCNQ1OT1	3.70798022337824e-41	1.29831478864034	0.752	0.762	7.41596044675649e-38	T/NK3	KCNQ1OT1
DSEL	4.92463526888922e-41	0.261029340123575	0.516	0.703	9.84927053777844e-38	T/NK3	DSEL
